FROM_CODE,FROM_NAME1,FROM_NAME2,TO_CODE,TO_NAME,TON,EXCLUDE,BOX_PRICE
B100,여주공장(CCB),매일유업,B311,3PL화인,14 TON,0,126.0
B100,여주공장(CCB),매일유업,B311,케이씨티시,14 TON,0,139.0
B100,여주공장(CCB),삼양패키징,B311,3PL화인,14 TON,0,321.0
B100,여주공장(CCB),삼양패키징,B311,케이씨티시,14 TON,0,350.0
B101,여주메가(CCB),NAN,B311,3PL화인,14 TON,0,280.0
B101,여주메가(CCB),NAN,B311,케이씨티시,14 TON,0,305.0
B300,양산공장(CCB),OKF,B311,3PL화인,14 TON,0,212.0
B300,양산공장(CCB),OKF,B311,케이씨티시,14 TON,0,172.0
B300,양산공장(CCB),OKF,B666,대전물류,14 TON,0,133.0
B300,양산공장(CCB),OKF,B666,대전물류(해태),14 TON,0,127.0
B300,양산공장(CCB),OKF,B666,해태(대전물류),14 TON,0,129.0
B300,양산공장(CCB),OKF,B666,해태대전물류,15 TON,0,120.0
B300,양산공장(CCB),경북능금,B311,3PL화인,14 TON,0,218.0
B300,양산공장(CCB),경북능금,B311,케이씨티시,14 TON,0,204.0
B301,양산메가(CCB),NAN,B106,수원물류,14 TON,0,303.0
B301,양산메가(CCB),NAN,B106,군산공장,26 TON,0,274.0
B301,양산메가(CCB),NAN,B311,3PL화인,14 TON,0,54.0
B301,양산메가(CCB),NAN,B311,케이씨티시,14 TON,0,51.0
B400,광주공장(CCB),신우S&F,B311,3PL화인,14 TON,0,459.0
B400,광주공장(CCB),신우S&F,B311,케이씨티시,14 TON,0,327.0
B401,광주메가(CCB),NAN,B311,3PL화인,14 TON,0,180.0
B401,광주메가(CCB),NAN,B311,케이씨티시,14 TON,0,133.0
