공장명,물류플랜트명,물류플랜트코드,권역내 구분
광주공장,3PL화인(CCB),B311,권역외
광주공장,강릉물류(CCB),B109,권역외
광주공장,광주메가(CCB),B401,권역내
광주공장,구미물류(CCB),B303,권역외
광주공장,남양주물류(CCB),B104,권역외
광주공장,대구물류(CCB),B302,권역외
광주공장,대전물류(CCB),B406,권역내
광주공장,목포물류(CCB),B403,권역내
광주공장,사상물류(CCB),B306,권역외
광주공장,서산물류(CCB),B112,권역외
광주공장,수원물류(CCB),B106,권역외
광주공장,순천물류(CCB),B404,권역내
광주공장,안동물류(CCB),B304,권역외
광주공장,안양물류(CCB),B102,권역외
광주공장,양산메가(CCB),B301,권역외
광주공장,여주메가(CCB),B101,권역외
광주공장,울산물류(CCB),B307,권역외
광주공장,인영물류(CCB),B114,권역외
광주공장,인천물류(CCB),B107,권역외
광주공장,일산물류(CCB),B103,권역외
광주공장,전북물류(CCB),B402,권역내
광주공장,진주물류(CCB),B309,권역외
광주공장,창원물류(CCB),B308,권역외
광주공장,천안물류(CCB),B111,권역외
광주공장,춘천물류(CCB),B108,권역외
광주공장,충주물류(CCB),B110,권역외
광주공장,통영물류(CCB),B310,권역외
광주공장,포항물류(CCB),B305,권역외
광주공장,하남물류(CCB),B105,권역외
광주공장,한국통운(CCB),B113,권역외
광주공장,제주물류(CCB),B405,권역내
양산공장,3PL화인(CCB),B311,권역내
양산공장,강릉물류(CCB),B109,권역외
양산공장,광주메가(CCB),B401,권역외
양산공장,구미물류(CCB),B303,권역내
양산공장,남양주물류(CCB),B104,권역외
양산공장,대구물류(CCB),B302,권역내
양산공장,대전물류(CCB),B406,권역외
양산공장,목포물류(CCB),B403,권역외
양산공장,사상물류(CCB),B306,권역내
양산공장,서산물류(CCB),B112,권역외
양산공장,수원물류(CCB),B106,권역외
양산공장,순천물류(CCB),B404,권역외
양산공장,안동물류(CCB),B304,권역내
양산공장,안양물류(CCB),B102,권역외
양산공장,양산메가(CCB),B301,권역내
양산공장,여주메가(CCB),B101,권역외
양산공장,울산물류(CCB),B307,권역내
양산공장,인영물류(CCB),B114,권역외
양산공장,인천물류(CCB),B107,권역외
양산공장,일산물류(CCB),B103,권역외
양산공장,전북물류(CCB),B402,권역외
양산공장,진주물류(CCB),B309,권역내
양산공장,창원물류(CCB),B308,권역내
양산공장,천안물류(CCB),B111,권역외
양산공장,춘천물류(CCB),B108,권역외
양산공장,충주물류(CCB),B110,권역외
양산공장,통영물류(CCB),B310,권역내
양산공장,포항물류(CCB),B305,권역내
양산공장,하남물류(CCB),B105,권역외
양산공장,한국통운(CCB),B113,권역외
양산공장,제주물류(CCB),B405,권역외
여주공장,3PL화인(CCB),B311,권역외
여주공장,강릉물류(CCB),B109,권역내
여주공장,광주메가(CCB),B401,권역외
여주공장,구미물류(CCB),B303,권역외
여주공장,남양주물류(CCB),B104,권역내
여주공장,대구물류(CCB),B302,권역외
여주공장,대전물류(CCB),B406,권역외
여주공장,목포물류(CCB),B403,권역외
여주공장,사상물류(CCB),B306,권역외
여주공장,서산물류(CCB),B112,권역내
여주공장,수원물류(CCB),B106,권역내
여주공장,순천물류(CCB),B404,권역외
여주공장,안동물류(CCB),B304,권역외
여주공장,안양물류(CCB),B102,권역내
여주공장,양산메가(CCB),B301,권역외
여주공장,여주메가(CCB),B101,권역내
여주공장,울산물류(CCB),B307,권역외
여주공장,인영물류(CCB),B114,권역내
여주공장,인천물류(CCB),B107,권역내
여주공장,일산물류(CCB),B103,권역내
여주공장,전북물류(CCB),B402,권역외
여주공장,진주물류(CCB),B309,권역외
여주공장,창원물류(CCB),B308,권역외
여주공장,천안물류(CCB),B111,권역내
여주공장,춘천물류(CCB),B108,권역내
여주공장,충주물류(CCB),B110,권역내
여주공장,통영물류(CCB),B310,권역외
여주공장,포항물류(CCB),B305,권역외
여주공장,하남물류(CCB),B105,권역내
여주공장,한국통운(CCB),B113,권역내
여주공장,제주물류(CCB),B405,권역외
천안공장,3PL화인(CCB),B311,권역외
천안공장,강릉물류(CCB),B109,권역외
천안공장,광주메가(CCB),B401,권역외
천안공장,구미물류(CCB),B303,권역외
천안공장,남양주물류(CCB),B104,권역내
천안공장,대구물류(CCB),B302,권역외
천안공장,대전물류(CCB),B406,권역내
천안공장,목포물류(CCB),B403,권역외
천안공장,사상물류(CCB),B306,권역외
천안공장,서산물류(CCB),B112,권역내
천안공장,수원물류(CCB),B106,권역내
천안공장,순천물류(CCB),B404,권역외
천안공장,안동물류(CCB),B304,권역외
천안공장,안양물류(CCB),B102,권역내
천안공장,양산메가(CCB),B301,권역외
천안공장,여주메가(CCB),B101,권역내
천안공장,울산물류(CCB),B307,권역외
천안공장,인영물류(CCB),B114,권역내
천안공장,인천물류(CCB),B107,권역내
천안공장,일산물류(CCB),B103,권역내
천안공장,전북물류(CCB),B402,권역내
천안공장,진주물류(CCB),B309,권역외
천안공장,창원물류(CCB),B308,권역외
천안공장,천안물류(CCB),B111,권역내
천안공장,춘천물류(CCB),B108,권역외
천안공장,충주물류(CCB),B110,권역내
천안공장,통영물류(CCB),B310,권역외
천안공장,포항물류(CCB),B305,권역외
천안공장,하남물류(CCB),B105,권역내
천안공장,한국통운(CCB),B113,권역내
천안공장,제주물류(CCB),B405,권역외
